,Type,gender,age,height,weight,EER[kcal],P target(15%)[g],F target(25%)[g],C target(60%)[g],number of dishes,E[kcal],P[g],F[g],C[g],Salt[g],Vegetables[g],Score(1:worst 2:bad 3:good 4:best)
881,lunch,female,26,161,53,2085,78,58,313,2,507,14.6,40.5,19.6,2.2,141,2
882,breakfast,female,26,161,53,2085,78,58,313,2,532,25.0,16.1,68.0,3.2,40,2
883,lunch,male,44,170,70,2268,85,63,340,4,666,30.2,28.4,68.9,2.8,62,3
884,dinner,male,44,170,70,2268,85,63,340,3,1505,54.5,41.5,217.1,9.5,33,2
885,dinner,female,52,159,54,1921,72,53,288,2,595,23.7,24.3,65.9,3.2,23,2
886,lunch,female,52,159,54,1921,72,53,288,3,1185,29.8,74.3,88.5,3.0,215,2
887,breakfast,female,52,159,54,1921,72,53,288,2,691,16.1,35.3,70.7,1.3,78,2
888,dinner,female,52,159,54,1921,72,53,288,3,1185,29.8,74.3,88.5,3.0,215,2
889,lunch,female,52,159,54,1921,72,53,288,2,799,21.2,25.1,118.9,5.7,40,2
890,breakfast,female,52,159,54,1921,72,53,288,3,355,12.3,18.1,34.3,1.5,0,2
891,lunch,male,44,170,70,2268,85,63,340,2,596,20.4,11.9,98.0,5.1,6,2
892,dinner,male,39,173,58,2105,79,58,316,3,402,20.4,26.5,23.0,3.1,327,2
893,dinner,male,44,170,70,2268,85,63,340,6,683,32.4,20.8,86.9,5.8,190,4
894,breakfast,male,39,170,60,1685,63,47,253,1,641,15.5,3.7,131.9,2.8,80,2
895,breakfast,male,40,172,65,2582,97,72,387,1,681,21.6,16.5,105.1,3.1,35,2
896,lunch,male,39,173,58,2105,79,58,316,2,729,17.3,40.4,68.9,1.8,67,2
897,lunch,male,39,170,60,1685,63,47,253,2,332,12.5,9.5,48.2,1.0,37,2
898,breakfast,male,39,170,60,1685,63,47,253,1,252,3.8,0.5,55.7,0.0,0,1
899,breakfast,male,39,173,58,2105,79,58,316,3,311,11.1,7.5,51.8,1.3,0,2
900,lunch,male,40,172,65,2582,97,72,387,1,660,35.8,10.9,98.9,3.1,13,2
901,lunch,male,44,170,70,2268,85,63,340,2,771,18.5,28.8,106.8,2.3,148,3
902,dinner,male,52,177,79,2437,91,68,366,4,512,20.2,19.0,62.3,2.3,171,3
903,lunch,male,52,177,79,2437,91,68,366,1,721,20.6,16.5,117.8,1.9,39,2
904,breakfast,male,52,177,79,2437,91,68,366,2,401,8.9,17.5,52.9,1.8,192,2
905,breakfast,male,52,177,79,2437,91,68,366,2,401,8.9,17.5,52.9,1.8,192,2
906,dinner,female,52,164,50,1632,61,45,245,2,566,15.9,18.4,55.7,1.8,22,2
907,dinner,male,44,170,70,2268,85,63,340,7,1019,36.5,46.6,108.9,8.1,180,3
908,dinner,female,52,159,54,1921,72,53,288,7,756,27.3,35.5,75.5,1.6,58,2
909,lunch,female,52,159,54,1921,72,53,288,1,287,5.7,10.8,41.3,1.0,0,1
910,breakfast,female,52,159,54,1921,72,53,288,3,348,12.4,17.5,34.1,1.5,0,2
911,lunch,female,47,161,45,1545,58,43,232,2,539,12.4,22.0,70.1,2.5,121,3
912,breakfast,female,47,161,45,1545,58,43,232,1,52,0.6,2.8,6.3,0.1,0,1
913,dinner,female,47,161,45,1545,58,43,232,2,946,42.9,75.9,12.8,5.0,24,1
914,dinner,male,39,173,58,2105,79,58,316,1,197,22.4,9.2,6.0,2.9,8,1
915,lunch,male,39,173,58,2105,79,58,316,2,502,18.1,35.5,26.6,2.2,84,2
916,lunch,male,46,175,64,2922,110,81,438,4,1158,55.4,17.4,186.2,3.2,134,3
917,breakfast,male,46,175,64,2922,110,81,438,3,277,6.3,0.6,59.6,1.9,43,1
918,breakfast,male,39,170,60,1685,63,47,253,1,299,5.5,0.8,64.9,1.4,0,1
919,breakfast,male,39,173,58,2105,79,58,316,3,250,12.4,9.0,29.4,1.6,0,2
920,lunch,female,26,159,51,2042,77,57,306,1,849,12.9,37.7,110.6,3.2,65,2
921,breakfast,female,26,159,51,2042,77,57,306,2,401,13.1,7.0,69.5,1.0,3,2
922,lunch,male,44,170,70,2268,85,63,340,3,758,26.0,38.7,73.9,4.6,233,3
923,dinner,female,26,161,53,2085,78,58,313,2,532,25.0,16.1,68.0,3.2,40,2
924,lunch,female,26,161,53,2085,78,58,313,1,92,12.0,1.9,6.1,1.3,2,1
925,breakfast,female,26,161,53,2085,78,58,313,2,507,14.6,40.5,19.6,2.2,141,2
926,breakfast,female,52,164,50,1632,61,45,245,2,230,7.0,3.4,42.7,1.0,0,1
927,dinner,male,44,170,70,2268,85,63,340,5,523,20.3,21.6,59.2,4.2,104,3
928,dinner,female,52,159,54,1921,72,53,288,3,816,20.5,48.9,66.0,2.4,86,2
929,lunch,female,52,159,54,1921,72,53,288,3,371,11.8,7.3,64.2,1.7,80,2
930,breakfast,female,52,159,54,1921,72,53,288,3,348,12.4,17.5,34.1,1.5,0,2
931,dinner,female,52,159,54,1921,72,53,288,1,407,15.6,18.4,43.0,1.8,22,2
932,dinner,female,52,159,54,1921,72,53,288,4,528,34.3,12.7,67.5,4.0,80,3
933,lunch,female,52,159,54,1921,72,53,288,6,532,18.7,15.1,76.7,1.8,60,2
934,breakfast,female,52,159,54,1921,72,53,288,3,348,12.4,17.5,34.1,1.5,0,2
935,dinner,female,47,161,45,1545,58,43,232,1,168,17.7,5.3,10.3,1.4,6,1
936,lunch,female,47,161,45,1545,58,43,232,1,52,0.6,2.8,6.3,0.1,0,1
937,breakfast,female,47,161,45,1545,58,43,232,1,732,19.0,19.4,115.2,2.2,135,2
938,dinner,male,40,173,70,2692,101,75,404,2,507,23.5,14.2,68.9,3.1,160,3
939,lunch,male,40,173,70,2692,101,75,404,1,409,17.7,5.0,69.9,4.0,35,2
940,dinner,male,40,173,70,2692,101,75,404,2,387,28.7,13.8,34.9,3.0,25,2
941,lunch,male,40,173,70,2692,101,75,404,1,997,28.7,39.6,124.5,2.5,64,2
942,breakfast,male,40,173,70,2692,101,75,404,1,317,11.2,5.3,56.0,1.6,0,1
943,dinner,male,40,173,70,2692,101,75,404,1,520,22.5,16.9,68.4,4.0,43,2
944,lunch,male,40,173,70,2692,101,75,404,1,451,24.4,8.9,68.1,4.1,6,2
945,breakfast,male,40,173,70,2692,101,75,404,1,317,11.2,5.3,56.0,1.6,0,1
946,lunch,female,36,158,48,1626,61,45,244,1,242,5.2,13.3,25.4,0.2,0,1
947,breakfast,male,39,173,58,2105,79,58,316,2,225,10.0,7.3,29.3,1.3,0,1
948,lunch,male,39,173,58,2105,79,58,316,1,879,27.6,31.9,113.7,4.2,52,2
949,breakfast,female,36,158,48,1626,61,45,244,2,314,7.7,3.9,59.9,1.4,30,1
950,lunch,male,39,174,65,3180,119,88,477,1,477,22.2,9.7,70.7,5.1,31,2
951,breakfast,male,39,174,65,3180,119,88,477,1,131,1.2,12.9,2.6,0.2,91,1
952,lunch,female,47,161,45,1545,58,43,232,1,732,19.0,19.4,115.2,2.2,135,2
953,dinner,male,24,174,69,2774,104,77,416,2,1084,41.0,79.2,48.5,5.1,138,1
954,lunch,male,24,174,69,2774,104,77,416,1,499,21.5,11.4,73.1,5.2,31,2
955,breakfast,male,24,174,69,2774,104,77,416,1,248,4.9,6.3,41.4,0.8,0,1
956,lunch,male,24,174,69,2774,104,77,416,1,660,35.8,10.9,98.9,3.1,13,2
957,breakfast,male,24,174,69,2774,104,77,416,2,301,10.9,9.0,44.0,1.6,60,2
958,lunch,male,44,170,70,2268,85,63,340,2,831,30.3,35.0,96.0,5.4,74,2
959,dinner,male,39,173,58,2105,79,58,316,7,841,24.2,27.3,45.5,2.4,51,2
960,lunch,male,39,173,58,2105,79,58,316,2,542,21.0,15.4,75.6,6.3,45,2
961,dinner,female,26,159,51,2042,77,57,306,2,885,43.0,62.8,27.3,2.4,50,1
962,dinner,male,44,170,70,2268,85,63,340,5,1092,33.1,39.6,144.5,5.3,121,2
963,breakfast,male,37,174,68,2296,86,64,344,1,293,10.1,8.7,43.5,1.1,0,1
964,lunch,female,26,159,51,2042,77,57,306,1,120,0.0,13.0,0.0,0.0,0,1
965,breakfast,male,39,173,58,2105,79,58,316,2,225,10.0,7.3,29.3,1.3,0,1
966,dinner,male,39,173,58,2105,79,58,316,1,833,27.7,56.7,30.1,4.2,178,1
967,breakfast,female,26,159,51,2042,77,57,306,3,1316,44.5,75.3,114.7,5.1,33,2
968,lunch,male,39,173,58,2105,79,58,316,2,766,38.8,41.3,53.5,5.5,45,2
969,breakfast,male,39,173,58,2105,79,58,316,3,350,15.2,11.0,47.3,1.9,0,2
970,lunch,female,52,159,54,1921,72,53,288,2,430,25.1,12.9,51.0,3.9,100,3
971,breakfast,female,52,159,54,1921,72,53,288,2,242,8.6,2.5,45.1,2.5,0,1
972,dinner,female,52,159,54,1921,72,53,288,5,685,27.3,33.2,68.1,4.8,187,3
973,lunch,female,52,159,54,1921,72,53,288,2,729,26.0,10.1,126.3,5.1,31,2
974,breakfast,female,52,159,54,1921,72,53,288,3,348,12.4,17.5,34.1,1.5,0,2
975,dinner,female,52,159,54,1921,72,53,288,2,657,20.7,24.3,83.9,3.0,124,3
976,lunch,female,52,159,54,1921,72,53,288,3,714,23.9,34.8,75.5,3.1,33,2
977,dinner,female,26,159,51,2042,77,57,306,4,476,27.7,27.3,26.7,3.0,67,2
978,lunch,female,26,159,51,2042,77,57,306,1,331,10.3,5.6,56.4,1.0,0,2
979,dinner,male,40,173,70,2692,101,75,404,3,632,34.0,22.5,68.0,4.0,58,2
980,breakfast,male,40,173,70,2692,101,75,404,1,190,11.1,15.3,0.6,1.2,0,1
981,dinner,male,39,173,58,2105,79,58,316,3,403,21.0,14.4,43.4,2.9,38,2
982,lunch,male,39,173,58,2105,79,58,316,4,966,33.7,55.6,80.3,4.2,20,2
983,breakfast,male,39,173,58,2105,79,58,316,3,415,21.1,22.6,29.9,2.4,0,2
984,breakfast,male,39,173,58,2105,79,58,316,3,349,18.2,20.4,21.4,2.1,0,2
985,lunch,male,33,173,67,2291,86,64,344,5,1623,51.9,109.6,94.2,5.7,180,2
986,breakfast,male,33,173,67,2291,86,64,344,1,263,4.5,0.9,57.0,0.3,0,1
987,lunch,female,26,161,53,2085,78,58,313,2,255,2.8,0.4,60.2,0.5,0,1
988,breakfast,female,26,159,51,2042,77,57,306,2,706,22.2,38.0,69.8,3.2,118,2
989,dinner,female,26,161,53,2085,78,58,313,2,617,23.5,25.3,69.2,2.4,30,2
990,breakfast,female,26,161,53,2085,78,58,313,5,346,13.8,12.8,45.3,4.4,142,2
991,breakfast,female,26,161,53,2085,78,58,313,4,315,13.8,12.8,37.5,4.4,142,2
992,dinner,male,33,173,67,2291,86,64,344,4,1145,44.8,51.3,118.0,7.5,293,2
993,dinner,male,40,173,70,2692,101,75,404,1,467,21.8,12.7,66.9,4.2,6,2
994,lunch,male,40,173,70,2692,101,75,404,1,822,30.2,20.2,124.5,5.3,61,2
995,breakfast,male,40,173,70,2692,101,75,404,1,158,5.6,2.6,28.0,0.8,0,1
996,lunch,male,33,173,67,2291,86,64,344,3,708,26.5,33.1,71.3,3.8,219,3
997,lunch,male,52,177,79,2437,91,68,366,1,1054,22.5,53.6,111.8,2.5,71,2
998,breakfast,male,52,177,79,2437,91,68,366,3,438,9.4,18.8,59.0,1.8,192,2
999,dinner,male,52,177,79,2437,91,68,366,2,895,42.2,37.9,96.0,10.1,198,3
1000,breakfast,male,52,177,79,2437,91,68,366,3,423,8.8,21.6,49.8,1.7,289,2
1001,lunch,male,52,177,79,2437,91,68,366,1,689,14.0,15.8,118.4,2.3,39,2
1002,dinner,male,39,173,58,2105,79,58,316,2,682,26.1,13.8,107.6,3.3,68,2
1003,lunch,male,39,173,58,2105,79,58,316,2,698,14.1,38.6,68.4,1.6,88,3
1004,breakfast,male,39,173,58,2105,79,58,316,2,218,6.0,2.7,42.4,0.8,0,1
1005,lunch,male,40,172,65,2582,97,72,387,1,501,19.0,13.0,72.8,6.0,45,2
1006,breakfast,male,39,170,60,1685,63,47,253,1,252,3.8,0.5,55.7,0.0,0,1
1007,breakfast,male,36,179,64,2274,85,63,341,1,86,17.6,0.9,1.0,0.8,2,1
1008,breakfast,male,33,173,67,2291,86,64,344,1,122,4.7,5.5,12.9,0.5,7,1
1009,breakfast,female,52,159,54,1921,72,53,288,2,264,6.3,11.3,33.9,1.0,0,1
1010,lunch,female,52,159,54,1921,72,53,288,2,729,26.0,10.1,126.3,5.1,31,2
1011,dinner,male,33,173,67,2291,86,64,344,4,716,15.1,30.9,92.7,3.3,217,3
1012,lunch,female,52,159,54,1921,72,53,288,1,573,14.6,8.7,106.3,4.0,68,2
1013,dinner,female,52,159,54,1921,72,53,288,1,408,31.2,20.2,27.8,5.4,265,2
1014,breakfast,female,52,159,54,1921,72,53,288,3,348,12.4,17.5,34.1,1.5,0,2
1015,dinner,female,52,159,54,1921,72,53,288,1,639,20.2,23.3,83.0,4.1,98,3
1016,lunch,female,52,159,54,1921,72,53,288,2,456,19.4,10.6,69.6,2.7,132,3
1017,breakfast,female,52,159,54,1921,72,53,288,3,348,12.4,17.5,34.1,1.5,0,2
1018,dinner,male,36,179,64,2274,85,63,341,1,1726,77.1,103.0,115.0,9.4,180,2
1019,lunch,male,36,179,64,2274,85,63,341,1,323,12.4,2.2,63.6,2.7,2,1
1020,breakfast,male,36,179,64,2274,85,63,341,1,120,0.2,0.4,32.6,0.0,0,1
1021,dinner,male,36,179,64,2274,85,63,341,4,718,36.4,27.7,76.5,5.3,56,2
1022,lunch,male,36,179,64,2274,85,63,341,2,842,29.4,27.2,113.8,4.3,61,2
1023,breakfast,male,36,179,64,2274,85,63,341,1,84,1.3,0.3,21.3,0.0,0,1
1024,dinner,male,36,179,64,2274,85,63,341,1,2025,84.5,119.2,141.0,14.7,622,1
1025,lunch,male,36,179,64,2274,85,63,341,2,1014,24.3,45.3,118.0,3.2,87,3
1026,lunch,male,40,173,70,2692,101,75,404,1,732,18.1,24.9,106.1,2.2,121,3
1027,breakfast,male,40,173,70,2692,101,75,404,1,158,5.6,2.6,28.0,0.8,0,1
1028,dinner,male,40,173,70,2692,101,75,404,1,501,19.0,13.0,72.8,6.0,45,2
1029,lunch,female,26,161,53,2085,78,58,313,1,131,1.2,12.9,2.6,0.2,91,1
1030,lunch,male,39,173,58,2105,79,58,316,1,879,27.6,31.9,113.7,4.2,52,2
1031,breakfast,male,39,173,58,2105,79,58,316,2,218,6.0,2.7,42.4,0.8,0,1
1032,lunch,male,35,170,52,2330,87,65,349,1,515,19.3,30.9,36.6,2.2,25,2
1033,lunch,male,33,173,67,2291,86,64,344,2,954,37.8,32.2,121.4,11.2,126,3
1034,lunch,male,36,179,64,2274,85,63,341,1,529,20.0,17.1,73.0,3.6,57,2
1035,breakfast,male,36,179,64,2274,85,63,341,1,120,0.2,0.4,32.6,0.0,0,1
1036,lunch,female,26,159,51,2042,77,57,306,1,702,23.1,17.9,105.9,2.9,16,2
1037,breakfast,female,26,159,51,2042,77,57,306,3,412,16.7,16.8,48.2,2.6,7,2
1038,breakfast,male,33,173,67,2291,86,64,344,1,66,2.8,1.0,11.1,0.4,5,1
1039,dinner,female,52,159,54,1921,72,53,288,1,506,25.0,11.5,72.1,5.1,45,3
1040,lunch,female,52,159,54,1921,72,53,288,1,140,1.7,8.5,14.0,0.1,0,1
1041,breakfast,female,52,159,54,1921,72,53,288,2,264,6.3,11.3,33.9,1.0,0,1
1042,dinner,male,33,173,67,2291,86,64,344,1,902,48.9,17.8,136.1,8.2,12,2
1043,lunch,male,33,173,67,2291,86,64,344,3,767,19.7,29.9,102.9,2.1,3,2
1044,dinner,male,33,173,67,2291,86,64,344,6,840,38.8,28.7,102.9,5.9,146,4
1045,dinner,female,52,159,54,1921,72,53,288,5,1053,41.1,59.9,80.6,4.2,177,3
1046,lunch,male,33,173,67,2291,86,64,344,2,1048,35.6,43.7,119.8,3.2,135,2
1047,breakfast,female,52,159,54,1921,72,53,288,4,368,13.3,18.7,35.7,1.6,16,2
1048,dinner,male,33,173,67,2291,86,64,344,6,953,36.9,49.0,88.1,5.8,211,3
1049,lunch,male,33,173,67,2291,86,64,344,1,916,29.0,32.9,117.3,4.4,0,2
1050,dinner,male,33,173,67,2291,86,64,344,1,1441,56.9,74.9,134.8,11.6,195,2
1051,lunch,male,33,173,67,2291,86,64,344,6,1112,43.0,48.3,120.7,6.0,166,3
1052,lunch,male,39,173,58,2105,79,58,316,2,560,17.3,18.2,81.2,3.3,50,2
1053,breakfast,male,39,173,58,2105,79,58,316,2,218,6.0,2.7,42.4,0.8,0,1
1054,breakfast,male,52,177,79,2437,91,68,366,2,401,8.9,17.5,52.9,1.8,192,2
1055,lunch,female,26,159,51,2042,77,57,306,3,538,27.1,14.5,70.2,1.0,0,2
1056,breakfast,female,26,159,51,2042,77,57,306,2,401,13.1,7.0,69.5,1.0,3,2
1057,dinner,male,39,173,58,2105,79,58,316,3,488,18.9,37.4,16.1,1.4,91,2
1058,dinner,female,26,159,51,2042,77,57,306,1,38,0.5,1.2,6.1,0.0,0,1
1059,lunch,female,32,153,47,1587,60,44,238,3,492,14.1,20.3,59.4,1.6,98,3
1060,breakfast,female,32,153,47,1587,60,44,238,1,185,6.1,1.8,35.0,0.8,10,1
1061,breakfast,female,52,164,50,1632,61,45,245,2,220,6.7,6.0,35.0,0.7,0,1
1062,lunch,female,52,164,50,1632,61,45,245,1,632,31.9,47.5,13.3,1.6,0,1
1063,lunch,male,39,173,58,2105,79,58,316,4,967,30.5,44.5,104.9,3.4,124,2
1064,lunch,female,26,159,51,2042,77,57,306,5,861,19.6,43.7,89.7,1.6,14,2
1065,breakfast,female,26,159,51,2042,77,57,306,2,518,24.0,25.2,46.4,2.2,11,2
1066,breakfast,male,39,173,58,2105,79,58,316,2,225,10.0,7.3,29.3,1.3,0,1
1067,lunch,female,26,159,51,2042,77,57,306,5,1119,48.3,43.0,128.6,7.1,45,2
1068,dinner,male,39,173,58,2105,79,58,316,3,687,34.3,48.6,25.2,6.1,80,2
1069,lunch,male,39,173,58,2105,79,58,316,1,687,23.3,14.7,110.3,2.8,52,2
1070,breakfast,male,39,173,58,2105,79,58,316,2,218,6.0,2.7,42.4,0.8,0,1
1071,dinner,male,52,177,79,2437,91,68,366,2,1075,30.5,34.3,129.6,2.7,65,2
1072,lunch,male,52,177,79,2437,91,68,366,1,681,21.6,16.5,105.1,3.1,35,2
1073,dinner,male,52,177,79,2437,91,68,366,4,783,24.8,40.6,73.9,3.2,102,3
1074,lunch,male,52,177,79,2437,91,68,366,1,721,20.6,16.5,117.8,1.9,39,2
1075,breakfast,male,52,177,79,2437,91,68,366,3,423,8.8,21.6,49.8,1.7,289,2
1076,dinner,female,32,153,47,1587,60,44,238,5,444,11.3,19.7,39.0,1.7,94,2
1077,lunch,female,32,153,47,1587,60,44,238,5,494,15.6,18.8,62.8,3.9,93,3
1078,breakfast,female,32,153,47,1587,60,44,238,2,100,1.8,0.4,21.6,0.0,3,1
1079,dinner,female,26,159,51,2042,77,57,306,7,574,29.6,36.6,33.2,3.2,32,1
1080,breakfast,female,52,164,50,1632,61,45,245,3,313,7.7,6.8,57.8,0.7,0,1
1081,lunch,female,52,164,50,1632,61,45,245,5,1078,32.0,66.1,61.8,4.2,191,2
1082,lunch,female,52,164,50,1632,61,45,245,2,412,7.4,0.8,92.1,2.2,189,2
1083,breakfast,female,26,159,51,2042,77,57,306,3,552,22.5,15.9,77.3,1.3,3,2
1084,lunch,female,26,159,51,2042,77,57,306,3,377,3.1,16.4,54.1,0.9,0,1
1085,dinner,female,26,159,51,2042,77,57,306,1,250,9.4,5.5,38.3,1.7,3,2
1086,dinner,female,32,153,47,1587,60,44,238,7,554,14.3,17.8,24.2,1.9,46,1
1087,dinner,male,39,173,58,2105,79,58,316,2,726,43.1,49.9,23.7,6.1,70,1
1088,dinner,female,43,166,60,2177,82,60,327,1,252,3.8,0.5,55.7,0.0,0,1
1089,breakfast,female,32,153,47,1587,60,44,238,2,845,26.6,36.1,103.9,2.9,50,1
1090,breakfast,male,39,173,58,2105,79,58,316,4,372,12.9,17.2,41.3,1.3,0,2
1091,dinner,male,39,173,58,2105,79,58,316,1,349,24.7,13.3,32.8,4.4,158,2
1092,dinner,male,34,164,60,2090,78,58,313,2,580,30.1,21.6,60.1,1.3,2,2
1093,lunch,male,34,164,60,2090,78,58,313,1,313,12.6,12.5,37.1,2.5,7,1
1094,breakfast,male,34,164,60,2090,78,58,313,1,158,5.6,2.6,28.0,0.8,0,1
1095,dinner,female,32,153,47,1587,60,44,238,3,686,16.4,30.2,64.4,1.9,203,2
1096,lunch,male,39,173,58,2105,79,58,316,4,789,30.7,33.5,85.7,5.0,175,3
1097,lunch,female,32,153,47,1587,60,44,238,2,130,10.0,5.4,10.9,1.9,43,1
1098,breakfast,female,32,153,47,1587,60,44,238,3,395,17.4,24.0,26.4,1.7,50,2
1099,dinner,male,39,173,58,2105,79,58,316,3,389,16.6,14.8,45.5,3.5,55,2
1100,breakfast,female,32,153,47,1587,60,44,238,3,395,17.4,24.0,26.4,1.7,50,2
1101,breakfast,male,39,173,58,2105,79,58,316,2,500,13.2,32.0,38.3,1.8,0,2
1102,lunch,female,52,164,50,1632,61,45,245,7,473,28.2,11.6,63.2,4.3,83,3
1103,dinner,male,34,164,60,2090,78,58,313,1,302,17.2,14.6,24.2,2.8,140,2
1104,lunch,male,34,164,60,2090,78,58,313,1,632,31.9,47.5,13.3,1.6,0,1
1105,lunch,male,34,164,60,2090,78,58,313,1,681,21.6,16.5,105.1,3.1,35,2
1106,breakfast,male,34,164,60,2090,78,58,313,2,316,16.0,13.0,31.7,0.9,0,1
1107,lunch,male,39,173,58,2105,79,58,316,3,813,32.3,11.4,140.8,6.7,224,3
1108,breakfast,male,39,173,58,2105,79,58,316,2,250,6.2,3.9,47.5,0.8,0,1
1109,dinner,male,39,173,58,2105,79,58,316,4,184,14.8,2.3,25.9,2.7,123,2
1110,lunch,male,52,177,79,2437,91,68,366,1,289,5.9,16.5,29.1,1.1,0,1
1111,breakfast,male,52,177,79,2437,91,68,366,2,392,7.5,0.9,85.5,2.0,0,1
1112,dinner,male,54,174,68,2581,97,72,387,2,634,24.9,6.7,116.6,5.3,6,2
1113,lunch,male,54,174,68,2581,97,72,387,2,580,20.4,2.3,114.1,4.9,29,2
1114,breakfast,male,54,174,68,2581,97,72,387,4,354,14.5,8.9,55.5,1.5,0,2
1115,dinner,male,52,177,79,2437,91,68,366,1,1070,34.1,53.9,104.0,3.4,15,2
1116,lunch,female,52,164,50,1632,61,45,245,3,751,25.5,26.3,102.9,3.8,24,2
1117,breakfast,female,52,164,50,1632,61,45,245,2,196,6.1,3.9,34.2,0.8,0,1
1118,lunch,male,52,177,79,2437,91,68,366,1,879,27.6,31.9,113.7,4.2,52,2
1119,lunch,male,39,173,58,2105,79,58,316,3,1048,36.2,38.3,130.7,4.4,67,2
1120,breakfast,female,29,157,48,1653,62,46,248,3,388,16.1,18.8,38.8,2.1,0,2
1121,breakfast,male,54,174,68,2581,97,72,387,4,354,14.5,8.9,55.5,1.5,0,2
1122,dinner,male,54,174,68,2581,97,72,387,4,1184,31.5,59.9,123.4,4.4,235,2
1123,breakfast,male,34,164,60,2090,78,58,313,1,259,8.8,9.3,35.2,0.8,0,1
1124,dinner,female,43,160,48,2020,76,56,303,4,644,2.7,0.4,45.0,0.6,80,1
1125,breakfast,male,52,177,79,2437,91,68,366,2,209,4.7,10.2,25.9,1.1,239,1
1126,dinner,male,52,177,79,2437,91,68,366,3,744,20.7,27.4,100.3,3.3,80,3
1127,breakfast,male,39,173,58,2105,79,58,316,3,292,14.3,7.5,41.2,1.5,0,2
1128,dinner,male,39,173,58,2105,79,58,316,1,458,11.4,14.9,66.8,3.1,162,2
1129,lunch,female,52,164,50,1632,61,45,245,2,504,11.8,19.1,69.2,2.8,187,4
1130,lunch,female,43,160,48,2020,76,56,303,3,754,26.7,17.9,118.8,4.2,57,2
1131,breakfast,female,43,160,48,2020,76,56,303,2,600,20.3,15.5,90.6,3.5,21,2
1132,dinner,female,43,160,48,2020,76,56,303,3,608,15.1,11.2,35.5,2.2,115,2
1133,lunch,female,43,160,48,2020,76,56,303,2,813,27.2,33.0,98.2,2.9,167,2
1134,lunch,male,39,173,58,2105,79,58,316,3,648,26.8,36.9,48.5,3.0,82,2
1135,lunch,male,50,175,65,2554,96,71,383,3,790,29.9,41.5,68.4,2.1,16,2
1136,dinner,female,52,164,50,1632,61,45,245,2,984,18.6,43.5,124.1,3.1,235,2
1137,lunch,male,54,174,68,2581,97,72,387,1,934,29.5,34.3,118.6,2.7,65,2
1138,lunch,female,52,164,50,1632,61,45,245,2,550,15.0,20.6,73.6,2.7,137,3
1139,lunch,male,52,177,79,2437,91,68,366,1,934,29.5,34.3,118.6,2.7,65,2
1140,breakfast,male,54,174,68,2581,97,72,387,4,397,20.4,15.9,42.3,1.7,0,2
1141,breakfast,male,52,177,79,2437,91,68,366,2,314,5.7,17.3,35.0,0.5,189,1
1142,breakfast,male,39,173,58,2105,79,58,316,2,225,10.0,7.3,29.3,1.3,0,1
1143,breakfast,male,50,175,65,2554,96,71,383,3,351,12.6,6.5,60.1,0.7,0,1
1144,dinner,male,50,175,65,2554,96,71,383,2,494,15.0,12.4,77.1,0.9,57,2
1145,dinner,female,52,164,50,1632,61,45,245,6,751,25.3,21.8,46.7,1.9,10,2
1146,dinner,male,39,173,58,2105,79,58,316,3,395,20.0,6.9,61.7,4.1,79,2
1147,lunch,male,39,173,58,2105,79,58,316,2,514,21.4,11.7,77.4,2.4,25,2
1148,breakfast,female,52,164,50,1632,61,45,245,3,275,7.3,3.4,56.4,0.8,0,1
1149,breakfast,female,43,160,48,2020,76,56,303,3,510,17.1,30.7,40.8,3.7,14,2
1150,lunch,male,39,173,58,2105,79,58,316,1,467,21.8,12.7,66.9,4.2,6,2
1151,breakfast,male,39,173,58,2105,79,58,316,3,393,8.4,8.3,73.5,0.7,0,1
1152,breakfast,male,39,173,58,2105,79,58,316,3,324,14.5,8.8,46.3,1.5,0,2
1153,dinner,male,33,173,72,2772,104,77,416,5,888,33.3,40.4,93.6,4.8,120,4
1154,dinner,female,43,160,48,2020,76,56,303,4,521,7.8,3.1,20.5,0.8,12,1
1155,dinner,female,29,157,48,1653,62,46,248,4,632,52.7,18.9,62.6,5.1,188,2
1156,lunch,female,29,157,48,1653,62,46,248,4,629,24.6,21.4,83.4,3.0,111,4
1157,breakfast,female,29,157,48,1653,62,46,248,4,355,11.6,4.8,67.9,1.2,0,2
1158,lunch,male,33,173,72,2772,104,77,416,1,975,35.5,38.1,113.2,3.4,38,2
1159,breakfast,male,33,173,72,2772,104,77,416,1,331,10.3,5.6,56.4,1.0,0,2
1160,lunch,female,43,160,48,2020,76,56,303,5,780,27.4,37.1,81.9,3.5,234,4
1161,breakfast,female,43,160,48,2020,76,56,303,2,280,13.4,6.7,40.5,1.6,43,3
1162,dinner,female,43,160,48,2020,76,56,303,5,766,7.7,16.2,33.2,1.3,159,1
1163,lunch,female,43,160,48,2020,76,56,303,1,580,23.6,19.1,73.6,5.3,31,2
1164,breakfast,female,43,160,48,2020,76,56,303,4,521,22.1,15.8,70.1,5.4,94,3
1165,breakfast,male,40,172,65,2582,97,72,387,1,38,0.5,1.2,6.1,0.0,0,1
1166,breakfast,female,52,159,54,1921,72,53,288,2,296,11.1,1.6,56.7,2.0,0,1
1167,dinner,female,52,159,54,1921,72,53,288,2,681,20.4,30.1,78.2,2.5,63,2
1168,lunch,female,52,159,54,1921,72,53,288,5,442,12.9,18.6,54.9,3.9,69,2
1169,dinner,male,39,173,58,2105,79,58,316,3,872,48.4,32.9,97.2,8.2,221,4
