,Type,gender,age,height,weight,EER[kcal],P target(15%)[g],F target(25%)[g],C target(60%)[g],number of dishes,E[kcal],P[g],F[g],C[g],Salt[g],Vegetables[g],Score(1:worst 2:bad 3:good 4:best)
671,dinner,male,47,173,76,2376,89,66,356,3,1351,39.6,49.7,179.7,4.3,40,2
672,lunch,male,47,173,76,2376,89,66,356,3,776,19.3,46.2,70.1,2.4,185,2
673,breakfast,male,47,173,76,2376,89,66,356,2,692,23.7,17.1,110.5,2.4,0,2
674,dinner,male,47,173,76,2376,89,66,356,7,966,37.7,40.4,109.5,5.7,88,2
675,dinner,male,39,173,58,2105,79,58,316,2,925,46.8,59.9,44.5,4.7,153,2
676,dinner,male,62,165,57,2544,95,71,382,3,1356,47.2,60.3,147.1,7.5,305,2
677,lunch,male,62,165,57,2544,95,71,382,1,747,21.4,66.8,8.5,2.5,9,1
678,dinner,female,39,168,50,2018,76,56,303,5,1008,29.7,80.8,31.9,2.7,104,2
679,dinner,female,35,160,48,1923,72,53,288,2,797,21.2,31.4,103.1,5.5,247,3
680,lunch,female,35,160,48,1923,72,53,288,1,678,18.4,17.2,108.6,3.6,171,3
681,breakfast,female,35,160,48,1923,72,53,288,3,327,10.9,14.1,39.2,1.5,0,2
682,lunch,female,39,168,50,2018,76,56,303,8,838,27.1,47.0,75.2,5.3,142,2
683,breakfast,female,39,168,50,2018,76,56,303,5,750,26.3,47.9,54.8,3.3,94,2
684,dinner,female,26,159,51,2042,77,57,306,2,638,21.9,25.9,76.3,1.5,135,1
685,breakfast,male,62,165,57,2544,95,71,382,4,430,13.4,8.3,75.2,1.4,0,2
686,lunch,male,39,173,58,2105,79,58,316,2,858,44.4,27.2,100.2,7.2,145,3
687,breakfast,male,39,173,58,2105,79,58,316,3,293,7.3,14.9,31.8,1.5,60,2
688,lunch,male,61,160,60,2026,76,56,304,4,1642,58.2,106.6,100.8,6.6,184,1
689,breakfast,male,61,160,60,2026,76,56,304,2,148,4.7,3.2,27.4,0.1,0,1
690,lunch,male,47,173,76,2376,89,66,356,6,852,53.0,17.3,114.5,5.9,11,2
691,lunch,female,26,159,51,2042,77,57,306,1,720,22.9,24.8,96.7,1.5,110,1
692,breakfast,male,47,173,76,2376,89,66,356,3,523,11.7,23.3,67.8,2.0,189,2
693,dinner,male,47,173,76,2376,89,66,356,3,746,27.1,32.8,79.4,2.9,0,2
694,lunch,male,47,173,76,2376,89,66,356,3,881,20.3,55.7,66.5,1.8,97,2
695,breakfast,female,39,158,51,1940,73,54,291,5,386,13.1,12.1,56.8,1.7,189,2
696,dinner,female,39,158,51,1940,73,54,291,2,386,10.4,17.9,44.0,1.7,216,2
697,breakfast,male,62,165,57,2544,95,71,382,4,430,13.4,8.3,75.2,1.4,0,2
698,dinner,male,39,173,58,2105,79,58,316,4,933,55.0,62.8,31.1,4.3,86,2
699,dinner,female,39,168,50,2018,76,56,303,5,776,34.7,57.6,27.9,5.5,269,2
700,lunch,female,39,168,50,2018,76,56,303,3,929,20.7,38.3,119.8,2.4,213,2
701,dinner,male,61,160,60,2026,76,56,304,4,1255,29.7,50.8,162.7,5.2,176,2
702,breakfast,female,39,168,50,2018,76,56,303,6,778,32.4,38.6,71.2,4.3,147,3
703,dinner,male,62,165,57,2544,95,71,382,6,684,35.8,23.7,78.7,4.0,80,3
704,lunch,female,39,158,51,1940,73,54,291,3,490,14.6,29.7,39.9,3.7,110,2
705,lunch,male,61,160,60,2026,76,56,304,2,455,15.2,25.5,40.3,2.3,33,2
706,dinner,male,40,172,65,2582,97,72,387,1,313,12.6,12.5,37.1,2.5,7,1
707,breakfast,male,40,172,65,2582,97,72,387,1,532,16.7,16.0,76.3,4.5,57,2
