Date,Open,High,Low,Close,Volume
1/1/2015,101.36,102.153,98.8187,100,0
1/2/2015,99.9137,101.869,98.7938,100.218,0
1/3/2015,100.253,101.54,88.7442,89.3769,0
1/4/2015,89.2479,91.1656,79.871,82.2132,0
1/5/2015,82.3484,88.319,81.5787,86.2289,0
1/6/2015,86.2564,90.9457,84.7404,89.6425,0
1/7/2015,89.6967,95.2483,87.8271,93.642,0
1/8/2015,92.5135,93.6941,87.3955,88.7782,0
1/9/2015,88.5788,93.3621,86.6909,92.3118,0
1/10/2015,91.9492,92.655,82.6262,83.901,0
1/11/2015,83.8751,86.2678,80.5307,81.5489,0
1/12/2015,81.5887,83.9635,79.8557,81.629,0
1/13/2015,81.5226,86.5468,66.9291,70.039,0
1/14/2015,69.1269,75.8812,54.7084,57.7205,0
1/15/2015,57.458,72.6715,56.4989,67.4344,0
1/16/2015,67.2513,71.5178,63.8278,66.7011,0
1/17/2015,66.6051,67.9077,61.4764,63.1233,0
1/18/2015,63.3428,69.045,61.4744,66.1834,0
1/19/2015,66.4538,68.9977,64.5486,67.1327,0
1/20/2015,66.6382,68.1825,64.2757,66.6193,0
1/21/2015,66.6379,71.9575,65.8206,71.0714,0
1/22/2015,71.061,74.5613,69.7984,72.6261,0
1/23/2015,72.6206,73.7071,69.5871,72.2905,0
1/24/2015,72.2266,78.1583,71.0363,77.3604,0
1/25/2015,77.2043,81.7934,74.9073,79.61,0
1/26/2015,79.6933,92.711,77.2481,81.3947,0
1/27/2015,81.2922,83.2116,74.4824,79.307,0
1/28/2015,79.2496,81.2508,69.437,71.6392,0
1/29/2015,71.5811,74.2232,67.5995,71.1597,0
1/30/2015,70.9708,74.1,68.6658,69.1876,0
1/31/2015,69.2036,72.413,66.5724,67.3085,0
2/1/2015,67.3743,70.8973,64.7924,69.1335,0
2/2/2015,69.0361,72.7733,66.8589,71.0773,0
2/3/2015,70.9541,73.2945,66.7123,67.6654,0
2/4/2015,67.7099,69.5085,65.6554,68.2053,0
2/5/2015,68.3159,71.5396,64.6761,66.4892,0
2/6/2015,66.5369,70.6313,65.7906,68.0336,0
2/7/2015,68.1018,70.4556,67.0173,68.732,0
2/8/2015,68.7825,69.6159,66.559,67.5529,0
2/9/2015,67.5643,70.6513,65.3607,66.83,0
